"family","t2t_counts","hg38_counts","log2fc"
"SoloTE|5S-Deu-L2",8048,8434,-0.0675785131932507
"SoloTE|Alu",18394895,15590729,0.238617039220606
"SoloTE|CR1",350606,354050,-0.0141023909019414
"SoloTE|Dong-R4",4137,4097,0.0140136608487627
"SoloTE|ERV1",997511,878138,0.183884875948512
"SoloTE|ERVK",81603,70501,0.210975686358827
"SoloTE|ERVL",547000,471954,0.212894162531558
"SoloTE|ERVL-MaLR",1322347,1184126,0.1592780771254
"SoloTE|Gypsy",60494,56968,0.0866388242462493
"SoloTE|Helitron",10076,6542,0.623042025593748
"SoloTE|L1",9839368,8826975,0.156646523181674
"SoloTE|L2",3223962,2810213,0.198155189798584
"SoloTE|MIR",2393079,2212531,0.113170305434738
"SoloTE|MULE-MuDR",18450,12610,0.54901632908409
"SoloTE|Merlin",868,321,1.43229548869978
"SoloTE|PIF-Harbinger",1256,58,4.41312588505867
"SoloTE|Penelope",4388,5351,-0.286185845781818
"SoloTE|PiggyBac",24992,19428,0.363312435602019
"SoloTE|RTE-X",90238,92061,-0.0288547043802038
"SoloTE|TcMar",1321,3197,-1.27444776197264
"SoloTE|TcMar-Mariner",77259,67293,0.199243799125489
"SoloTE|TcMar-Pogo",66,29,1.15919859484925
"SoloTE|TcMar-Tc2",57629,51647,0.158107535996265
"SoloTE|TcMar-Tigger",1155543,969728,0.252918660913776
"SoloTE|hAT",15382,25717,-0.741441567805941
"SoloTE|hAT-Ac",15859,13942,0.185851763675575
"SoloTE|hAT-Blackjack",61373,64365,-0.0686712029089329
"SoloTE|hAT-Charlie",1564724,1341428,0.222138429422594
"SoloTE|hAT-Tag1",23472,1207,4.28030987955168
"SoloTE|hAT-Tip100",228673,149367,0.614421238080076
